tipo,minuto,barco_id,decision,desde,hasta,ocupacion,unidad_id,par,tiempo_espera,tiempo_viaje
sube,434.0,barco_0,,,,,escalon_2_00012_p10,"('kleppesto', 'bryggen')",5.610000000000014,
sube,434.0,barco_0,,,,,escalon_2_00013_p0,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p1,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p2,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p3,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p4,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p5,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p6,"('kleppesto', 'bryggen')",2.009999999999991,
sube,434.0,barco_0,,,,,escalon_2_00013_p7,"('kleppesto', 'bryggen')",2.009999999999991,
movimiento,434.0,barco_0,,kleppesto,bryggen,19.0,,,,
decision,434.0,barco_2,bryggen,,,,,,,
sube,434.0,barco_2,,,,,escalon_2_00037_p0,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p1,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p2,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p3,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p4,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p5,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p6,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p7,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p8,"('sandviken', 'bryggen')",14.45999999999998,
sube,434.0,barco_2,,,,,escalon_2_00037_p9,"('sandviken', 'bryggen')",14.45999999999998,
movimiento,434.0,barco_2,,sandviken,bryggen,10.0,,,,
baja,436.0,barco_1,,,,,escalon_2_00009_p0,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00009_p1,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00009_p2,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00009_p3,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00009_p4,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00009_p5,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p0,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p1,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p2,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p3,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p4,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p5,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p6,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p7,"('kleppesto', 'bryggen')",,12.0
baja,436.0,barco_1,,,,,escalon_2_00014_p8,"('kleppesto', 'bryggen')",,12.0
decision,436.0,barco_1,laksevag,,,,,,,
movimiento,436.0,barco_1,,bryggen,laksevag,0.0,,,,
baja,442.0,barco_2,,,,,escalon_2_00037_p0,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p1,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p2,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p3,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p4,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p5,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p6,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p7,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p8,"('sandviken', 'bryggen')",,8.0
baja,442.0,barco_2,,,,,escalon_2_00037_p9,"('sandviken', 'bryggen')",,8.0
decision,442.0,barco_2,kleppesto,,,,,,,
sube,442.0,barco_2,,,,,escalon_2_00029_p0,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p1,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p2,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p3,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p4,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p5,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p6,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p7,"('bryggen', 'kleppesto')",1.1899999999999977,
sube,442.0,barco_2,,,,,escalon_2_00029_p8,"('bryggen', 'kleppesto')",1.1899999999999977,
movimiento,442.0,barco_2,,bryggen,kleppesto,9.0,,,,
baja,446.0,barco_0,,,,,escalon_2_00012_p0,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p1,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p2,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p3,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p4,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p5,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p6,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p7,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p8,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p9,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00012_p10,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p0,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p1,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p2,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p3,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p4,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p5,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p6,"('kleppesto', 'bryggen')",,12.0
baja,446.0,barco_0,,,,,escalon_2_00013_p7,"('kleppesto', 'bryggen')",,12.0
decision,446.0,barco_0,laksevag,,,,,,,
movimiento,446.0,barco_0,,bryggen,laksevag,0.0,,,,
decision,446.0,barco_1,bryggen,,,,,,,
