minuto,incomodidad,movimiento,entrega,total
500.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
502.0,0.0026888888888886293,0.1,0.0,-0.10268888888888864
504.0,0.1340469135802451,0.2,0.0,-0.3340469135802451
506.0,0.46293580246913235,0.2,0.0,-0.6629358024691323
508.0,0.0,0.2,0.0,-0.2
510.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
512.0,0.0,0.2,0.0,-0.2
514.0,0.0,0.2,0.0,-0.2
516.0,0.08491944444444342,0.30000000000000004,0.0,-0.3849194444444435
518.0,0.08641450617284026,0.2,0.0,-0.28641450617284026
520.0,0.38431574074074426,0.30000000000000004,0.0,-0.6843157407407443
522.0,1.0278959876543272,0.2,0.0,-1.2278959876543272
524.0,2.0171552469135885,0.2,0.0,-2.2171552469135887
526.0,3.3520935185185294,0.30000000000000004,0.0,-3.6520935185185293
528.0,2.513945370370373,0.2,0.0,-2.7139453703703733
530.0,0.018591358024691817,0.2,0.0,-0.21859135802469182
532.0,0.2548876543209893,0.2,0.0,-0.4548876543209893
534.0,0.7641333333333369,0.30000000000000004,0.0,-1.064133333333337
536.0,1.6093185185185248,0.30000000000000004,0.0,-1.9093185185185249
538.0,2.5934061728395115,0.2,0.0,-2.7934061728395116
540.0,3.9161222222222274,0.30000000000000004,0.0,-4.216122222222228
542.0,5.510443209876552,0.2,0.0,-5.710443209876552
544.0,7.37636913580248,0.2,0.0,-7.57636913580248
546.0,9.54857901234569,0.2,0.0,-9.74857901234569
548.0,11.288999999999984,0.2,0.0,-11.488999999999983
550.0,11.790234567901216,0.2,0.0,-11.990234567901215
552.0,12.538382716049362,0.2,0.0,-12.738382716049362
554.0,0.2533444444444414,0.1,0.0,-0.35334444444444135
556.0,0.0,0.2,0.0,-0.2
558.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
560.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
562.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
564.0,0.0,0.2,0.0,-0.2
566.0,0.004800000000000363,0.2,0.0,-0.20480000000000037
568.0,0.20628148148148392,0.1,0.0,-0.30628148148148393
570.0,0.7040592592592635,0.1,0.0,-0.8040592592592635
572.0,1.49813333333334,0.1,0.0,-1.59813333333334
574.0,2.5885037037037124,0.1,0.0,-2.6885037037037125
576.0,0.0,0.2,0.0,-0.2
578.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
580.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
582.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
584.0,0.0,0.0,0.0,0.0
586.0,3.950617283943431e-05,0.1,0.0,-0.10003950617283944
588.0,0.10275555555555191,0.1,0.0,-0.20275555555555191
590.0,0.40300246913579507,0.1,0.0,-0.503002469135795
592.0,0.9007802469135696,0.1,0.0,-1.0007802469135696
594.0,0.0,0.2,0.0,-0.2
596.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
598.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
600.0,0.0,0.2,0.0,-0.2
602.0,0.0,0.1,0.0,-0.1
604.0,0.021025000000000224,0.1,0.0,-0.12102500000000023
606.0,0.22880277777777847,0.1,0.0,-0.32880277777777844
608.0,0.6588027777777791,0.1,0.0,-0.758802777777779
610.0,0.0,0.0,0.0,0.0
612.0,0.0,0.0,0.0,0.0
614.0,0.0,0.0,0.0,0.0
616.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
618.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
620.0,0.0,0.1,0.0,-0.1
622.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
624.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
626.0,0.0826888888888926,0.1,0.0,-0.18268888888889262
628.0,0.36219506172840277,0.30000000000000004,0.0,-0.6621950617284028
630.0,0.8694820987654445,0.30000000000000004,0.0,-1.1694820987654446
632.0,0.0,0.0,0.0,0.0
634.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
