#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-4463.356732,90,119.395704
-2853.048677,90,119.845907
-792.11537,90,120.134377
-1685.395642,90,120.530923
-2250.729362,90,122.506871
-3617.480727,90,123.001247
-2438.933765,90,123.383302
-3651.036432,90,123.771016
-4033.742044,90,124.29171
-2273.016577,90,124.682784
-2354.335058,90,125.145301
-1510.902309,90,125.50192
-3052.375685,90,125.872302
-1502.962141,90,126.221962
-1266.707173,90,126.586851
-2918.686836,90,126.942907
-1104.37807,90,127.272222
-3451.625647,90,127.705559
-2142.046748,90,128.084854
-2144.953789,90,128.429544
-2509.043775,90,128.824995
-4371.548033,90,129.329664
-1374.877796,90,129.675932
-5526.458985,90,130.082878
-3232.295136,90,130.493869
-1921.86018,90,130.810575
-1811.383044,90,132.681461
-1850.396091,90,133.142493
-1643.806517,90,133.446398
-3051.111756,90,133.787307
-3419.639173,90,134.179468
-3251.370089,90,134.572918
-6122.995747,90,135.023746
-3059.89375,90,135.396101
-2949.16079,90,135.771956
-2743.052183,90,136.158726
-3455.747802,90,136.534806
-5415.145154,90,136.974099
-2932.947902,90,137.432981
-2236.891246,90,137.864835
-2900.612401,90,138.275338
-1052.045797,90,138.715478
-2358.708969,90,139.102484
-2807.364012,90,139.553087
-2015.636943,90,140.043399
-1507.454794,90,140.367719
-3325.053017,90,140.737925
-2380.113844,90,141.266569
-1479.299725,90,141.614628
-2877.15443,90,143.683159
-1703.95421,90,144.074015
-2543.82762,90,144.524642
-2263.52613,90,144.862283
-2315.194463,90,145.242583
-1885.16773,90,145.582067
-3144.539706,90,146.104119
-2411.611405,90,146.5575
-6141.344019,90,146.974133
-2498.734855,90,147.449198
-3295.04571,90,147.862525
-3227.057085,90,148.213812
-3099.35893,90,148.583164
-2346.699018,90,148.987916
-3612.783719,90,149.440633
-2003.025015,90,149.884663
-1304.971826,90,150.219059
-2855.368282,90,150.656586
-2335.254909,90,151.006028
-1524.802001,90,151.403598
-4792.317332,90,151.815526
-2231.078487,90,152.268866
-3462.719818,90,152.741114
-1113.087863,90,154.794719
-2543.99041,90,155.133169
-5014.738709,90,155.595869
-2422.036398,90,155.882022
-2741.59678,90,156.25873
-3823.742139,90,156.627613
-1415.662351,90,156.883927
-2317.903681,90,157.244868
-3502.743903,90,157.707135
-1633.41241,90,158.081744
-3477.383202,90,158.514853
-1155.841448,90,158.838975
-1587.050957,90,159.220361
-3666.945371,90,159.675124
-1371.238619,90,160.011997
-2657.749192,90,160.347042
-3909.318561,90,160.713545
-2931.157694,90,161.01565
-2335.868149,90,161.308568
-4206.855347,90,161.602056
-4430.878211,90,162.028085
-2319.512133,90,162.384062
-6578.385127,90,162.803548
-770.571681,90,165.177696
-3069.540169,90,165.519729
-1862.126293,90,165.780239
-2370.912737,90,166.11238
-3706.906218,90,166.45912
-1842.17772,90,166.728373
-2761.245545,90,167.043425
-2269.737283,90,167.347861
-4301.822842,90,167.769644
-2143.565211,90,168.069991
-5101.553105,90,168.569869
-2474.248952,90,168.920818
-3059.486026,90,169.334887
-2376.378233,90,169.718342
-1242.916966,90,170.049798
-2224.569423,90,170.437932
-3059.775097,90,170.777258
-2297.485104,90,171.14328
-2368.667158,90,171.643487
-1524.247623,90,171.947941
-2447.29029,90,172.342342
-1874.788851,90,172.774387
-1147.660804,90,174.608474
-2102.715305,90,174.87516
-1977.286159,90,175.344527
-1529.206434,90,175.695996
-4333.856064,90,176.144452
-3851.468439,90,176.528582
-3040.207829,90,176.774768
-2743.287512,90,177.092927
-1755.373548,90,177.363557
-2636.360683,90,177.580734
-1012.944014,90,177.813435
-2343.597706,90,178.109716
-2368.851428,90,178.397376
-2665.682696,90,178.75602
-2350.105035,90,179.041226
-1327.016192,90,179.390097
-1028.010664,90,179.784223
-922.011319,90,180.144809
-4492.932979,90,180.605942
-1579.710762,90,180.903906
-1340.685324,90,181.16553
-2291.93236,90,181.60933
-2019.589021,90,182.020703
-2275.482634,90,183.825498
-2971.667626,90,184.228877
-2234.067279,90,184.565385
-727.133989,90,184.890795
-2126.422027,90,185.329521
-3266.632857,90,185.7241
-1721.578894,90,186.081994
-1160.659815,90,186.361934
-2131.89712,90,186.651363
-4982.107127,90,187.028813
-1381.108747,90,187.342303
-2413.725008,90,187.705057
-857.114344,90,187.997095
-1805.267495,90,188.298715
-1203.590339,90,188.65667
-2694.109227,90,188.927989
-4769.352539,90,189.465257
-2772.730968,90,189.854183
-3252.045014,90,190.246318
-2665.559532,90,190.613686
-2637.671901,90,190.98075
-1278.092009,90,191.261196
-2443.052813,90,191.623519
-1446.919543,90,193.361151
-2196.748876,90,193.731241
-884.582438,90,194.055161
-2704.305799,90,194.410763
-4809.433409,90,194.715982
-3171.137831,90,195.044332
-1082.415455,90,195.298378
-3759.374985,90,195.623245
-1783.745973,90,195.903986
-1970.878019,90,196.147531
-2108.380515,90,196.415483
-3130.202895,90,196.687883
-1451.849588,90,197.143024
-2616.239377,90,197.475998
-3222.67516,90,197.760798
-4705.738767,90,198.158893
-1291.693967,90,198.478765
-2776.491832,90,198.790386
-3047.458539,90,199.127653
-6296.938273,90,199.426925
-1968.028442,90,199.841585
-3117.987182,90,200.242153
-1547.429623,90,200.589976
-2631.722476,90,202.360714
-2339.441359,90,202.725963
-1963.931805,90,203.024944
-990.44569,90,203.315863
-1058.379335,90,203.655885
-1432.419001,90,203.887841
-1451.093787,90,204.168177
-4048.538805,90,204.460796
-2080.38756,90,204.784802
-1180.501996,90,205.107007
-3144.940666,90,205.393687
-1138.763359,90,205.772697
-1278.947885,90,206.122403
-1566.558002,90,206.396127
-2230.489717,90,206.745372
-1704.952885,90,206.997253
-1542.183949,90,207.266619
-3112.517134,90,207.644388
-1572.799937,90,207.977332
-3448.297594,90,208.312563
-868.539291,90,208.767103
-2704.087124,90,209.058107
-3231.038467,90,210.855191
-2547.960776,90,211.097781
-1991.844375,90,211.542138
-2371.341315,90,211.803969
-1926.931017,90,212.098506
-930.140859,90,212.42288
-2784.460716,90,212.689361
-1346.411824,90,212.959668
-1929.047744,90,213.342745
-1826.789639,90,213.657896
-2931.086947,90,214.10001
-1780.669545,90,214.639676
-1811.074112,90,214.873118
-1501.092854,90,215.151774
-1464.334775,90,215.596249
-1984.40532,90,215.940471
-2333.214581,90,216.232024
-1400.887176,90,216.431164
-2133.167704,90,216.751433
-2373.557386,90,217.126162
-2376.454573,90,217.434374
-2962.257907,90,217.820465
-3553.875343,90,218.145324
-1282.933844,90,219.927064
-1398.343339,90,220.211849
-1590.334117,90,220.515928
-1223.535363,90,220.889384
-2984.689027,90,221.219711
-3948.098265,90,221.560637
-5445.099138,90,221.883702
-2752.43898,90,222.230512
-2081.573944,90,222.597944
-5864.315115,90,222.976109
-777.074696,90,223.277981
-2279.938084,90,223.699065
-3150.461536,90,224.121568
-2200.945405,90,224.441298
-3929.341625,90,224.800588
-1847.242555,90,225.11912
-3228.161893,90,225.465095
-3374.46824,90,225.776918
-2445.829249,90,226.061828
-2528.441713,90,226.36506
-1666.73007,90,226.711153
-2626.816751,90,226.951324
-2711.552733,90,227.291699
-2218.893939,90,229.242477
-2709.065024,90,229.513741
-3140.840773,90,229.891802
-746.538605,90,230.213858
-565.55576,90,230.518548
-1068.080886,90,230.824067
-1600.20511,90,231.100497
-2294.45428,90,231.361573
-1491.640641,90,231.657433
-5499.427241,90,232.081732
-3659.927292,90,232.385607
-2308.339403,90,232.710927
-2738.402365,90,233.021519
-2433.569418,90,233.399624
-2498.925677,90,233.752956
-1588.169404,90,234.035848
-3428.289955,90,234.359364
-2383.297863,90,234.620137
-1170.689881,90,234.965791
-1840.983269,90,235.313777
-2275.560829,90,235.629791
-3383.423159,90,236.030833
-2225.793106,90,236.391361
-2358.012655,90,238.147402
-1651.74051,90,238.471606
-2769.708653,90,238.913686
-2231.874427,90,239.30482
-1837.870721,90,239.635243
-1546.869592,90,239.884262
-2341.361308,90,240.159761
-2589.356408,90,240.47939
-3076.542561,90,240.854411
-1745.775947,90,241.160482
-2019.42106,90,241.45516
-2068.720688,90,241.780093
-2510.09216,90,242.109183
-1512.682047,90,242.414859
-2260.666486,90,242.783785
-3467.693306,90,243.16959
-3005.237915,90,243.454011
-1771.713667,90,243.786074
-1497.509515,90,244.160998
-609.276969,90,244.465603
-2499.630663,90,244.704645
-598.920422,90,245.001859
-6389.314116,90,247.042713
-2835.153275,90,247.290041
-5231.365668,90,247.668777
-2808.763147,90,247.919282
-1754.200046,90,248.198962
-1957.611248,90,248.536222
-1107.602041,90,248.828973
-2118.424376,90,249.108008
-3276.586273,90,249.473081
-1967.856566,90,249.735232
-1754.110666,90,250.06032
-1986.112359,90,250.420235
-4094.891536,90,250.733981
-2297.266169,90,250.980721
-2378.023783,90,251.267682
-1978.483353,90,251.576516
-2109.41338,90,251.892453
-2834.550675,90,252.21639
-3452.305573,90,252.561749
-2939.400034,90,252.948725
-899.086706,90,253.367508
-3468.767546,90,253.754307
-2175.68483,90,254.170528
-1528.530273,90,256.007078
-3705.629269,90,256.414146
-1677.689044,90,256.746471
-1416.915842,90,257.018712
-3732.164691,90,257.320598
-1441.340659,90,257.637958
-1378.299398,90,257.952469
-2105.407114,90,258.285704
-2495.829186,90,258.639452
-3797.813285,90,258.954474
-1634.614231,90,259.329624
-2202.102422,90,259.68859
-2097.71511,90,260.08664
-2305.296331,90,260.450586
-3209.547272,90,260.897556
-955.388974,90,261.285319
-1756.509761,90,261.744576
-5718.857634,90,262.138
-1736.26614,90,262.518175
-1283.124123,90,262.825179
-2821.407633,90,263.208676
-1893.486805,90,263.573923
-3811.415247,90,263.97631
